start_tsc 9263541789443575 start_tsp 1739292286982504362
NODE_N=50
Initialization...
setting device 0 with name NVIDIA A100-PCIE-40GB
CUPTI_ACTIVITY_ATTR_DEVICE_BUFFER_SIZE = 3200000 B
CUPTI_ACTIVITY_ATTR_DEVICE_BUFFER_SIZE = 6400000 B
CUPTI_ACTIVITY_ATTR_DEVICE_BUFFER_POOL_LIMIT = 250
CUPTI_ACTIVITY_ATTR_DEVICE_BUFFER_POOL_LIMIT = 500
OK, begin to generate orders.
CPU_Times,1739292287507620352,1739292288044127744,536507392
Overlap_Times,0,0,0
RUNTIME cudaMalloc_v3020 (cbid=20), 1739292287507631134,1739292287507770316,139182, process 3626769, thread 2732793856, correlation 1
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031630505,1739292288031630695,190, process 3626769, thread 2732793856, correlation 1452
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031631096,1739292288031631196,100, process 3626769, thread 2732793856, correlation 1453
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031631266,1739292288031631356,90, process 3626769, thread 2732793856, correlation 1454
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031631417,1739292288031631627,210, process 3626769, thread 2732793856, correlation 1455
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031631747,1739292288031631948,201, process 3626769, thread 2732793856, correlation 1456
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031632008,1739292288031632098,90, process 3626769, thread 2732793856, correlation 1457
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031632158,1739292288031632378,220, process 3626769, thread 2732793856, correlation 1458
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031632429,1739292288031632629,200, process 3626769, thread 2732793856, correlation 1459
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031633380,1739292288031633480,100, process 3626769, thread 2732793856, correlation 1460
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031633540,1739292288031633631,91, process 3626769, thread 2732793856, correlation 1461
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031633691,1739292288031633901,210, process 3626769, thread 2732793856, correlation 1462
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031634021,1739292288031634222,201, process 3626769, thread 2732793856, correlation 1463
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031634312,1739292288031634412,100, process 3626769, thread 2732793856, correlation 1464
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031634472,1739292288031634683,211, process 3626769, thread 2732793856, correlation 1465
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031634743,1739292288031634943,200, process 3626769, thread 2732793856, correlation 1466
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031635504,1739292288031635604,100, process 3626769, thread 2732793856, correlation 1467
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031635664,1739292288031635765,101, process 3626769, thread 2732793856, correlation 1468
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031635825,1739292288031636035,210, process 3626769, thread 2732793856, correlation 1469
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031636156,1739292288031636346,190, process 3626769, thread 2732793856, correlation 1470
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031636416,1739292288031636506,90, process 3626769, thread 2732793856, correlation 1471
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031636566,1739292288031636797,231, process 3626769, thread 2732793856, correlation 1472
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031636887,1739292288031637077,190, process 3626769, thread 2732793856, correlation 1473
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031637428,1739292288031637528,100, process 3626769, thread 2732793856, correlation 1474
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031637618,1739292288031637708,90, process 3626769, thread 2732793856, correlation 1475
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031637799,1739292288031638019,220, process 3626769, thread 2732793856, correlation 1476
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031638139,1739292288031638340,201, process 3626769, thread 2732793856, correlation 1477
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031638400,1739292288031638500,100, process 3626769, thread 2732793856, correlation 1478
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031638560,1739292288031638821,261, process 3626769, thread 2732793856, correlation 1479
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031638881,1739292288031639081,200, process 3626769, thread 2732793856, correlation 1480
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031640103,1739292288031640203,100, process 3626769, thread 2732793856, correlation 1481
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031640263,1739292288031640353,90, process 3626769, thread 2732793856, correlation 1482
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031640413,1739292288031640624,211, process 3626769, thread 2732793856, correlation 1483
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031640774,1739292288031640965,191, process 3626769, thread 2732793856, correlation 1484
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031641035,1739292288031641125,90, process 3626769, thread 2732793856, correlation 1485
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031641185,1739292288031641406,221, process 3626769, thread 2732793856, correlation 1486
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031641455,1739292288031641656,201, process 3626769, thread 2732793856, correlation 1487
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031641987,1739292288031642087,100, process 3626769, thread 2732793856, correlation 1488
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031642147,1739292288031642247,100, process 3626769, thread 2732793856, correlation 1489
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031642307,1739292288031642517,210, process 3626769, thread 2732793856, correlation 1490
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031642638,1739292288031642838,200, process 3626769, thread 2732793856, correlation 1491
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031642898,1739292288031642988,90, process 3626769, thread 2732793856, correlation 1492
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031643058,1739292288031643269,211, process 3626769, thread 2732793856, correlation 1493
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031643329,1739292288031643519,190, process 3626769, thread 2732793856, correlation 1494
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031643870,1739292288031643980,110, process 3626769, thread 2732793856, correlation 1495
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031644030,1739292288031644131,101, process 3626769, thread 2732793856, correlation 1496
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031644191,1739292288031644401,210, process 3626769, thread 2732793856, correlation 1497
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031644521,1739292288031644722,201, process 3626769, thread 2732793856, correlation 1498
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031644782,1739292288031644882,100, process 3626769, thread 2732793856, correlation 1499
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031644942,1739292288031645153,211, process 3626769, thread 2732793856, correlation 1500
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031645213,1739292288031645403,190, process 3626769, thread 2732793856, correlation 1501
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031646084,1739292288031646195,111, process 3626769, thread 2732793856, correlation 1502
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031646255,1739292288031646345,90, process 3626769, thread 2732793856, correlation 1503
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031646405,1739292288031646615,210, process 3626769, thread 2732793856, correlation 1504
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031646745,1739292288031646936,191, process 3626769, thread 2732793856, correlation 1505
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031646996,1739292288031647096,100, process 3626769, thread 2732793856, correlation 1506
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031647156,1739292288031647367,211, process 3626769, thread 2732793856, correlation 1507
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031647427,1739292288031647627,200, process 3626769, thread 2732793856, correlation 1508
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031648158,1739292288031648268,110, process 3626769, thread 2732793856, correlation 1509
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031648328,1739292288031648419,91, process 3626769, thread 2732793856, correlation 1510
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031648479,1739292288031648689,210, process 3626769, thread 2732793856, correlation 1511
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031648819,1739292288031649010,191, process 3626769, thread 2732793856, correlation 1512
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031649070,1739292288031649170,100, process 3626769, thread 2732793856, correlation 1513
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031649230,1739292288031649441,211, process 3626769, thread 2732793856, correlation 1514
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031649501,1739292288031649701,200, process 3626769, thread 2732793856, correlation 1515
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031650072,1739292288031650182,110, process 3626769, thread 2732793856, correlation 1516
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031650242,1739292288031650332,90, process 3626769, thread 2732793856, correlation 1517
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031650402,1739292288031650603,201, process 3626769, thread 2732793856, correlation 1518
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031650763,1739292288031650953,190, process 3626769, thread 2732793856, correlation 1519
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031651033,1739292288031651134,101, process 3626769, thread 2732793856, correlation 1520
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031651194,1739292288031651404,210, process 3626769, thread 2732793856, correlation 1521
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031651464,1739292288031651665,201, process 3626769, thread 2732793856, correlation 1522
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031651995,1739292288031652095,100, process 3626769, thread 2732793856, correlation 1523
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031652156,1739292288031652246,90, process 3626769, thread 2732793856, correlation 1524
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031652306,1739292288031652516,210, process 3626769, thread 2732793856, correlation 1525
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031652647,1739292288031652837,190, process 3626769, thread 2732793856, correlation 1526
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031652897,1739292288031652997,100, process 3626769, thread 2732793856, correlation 1527
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031653057,1739292288031653268,211, process 3626769, thread 2732793856, correlation 1528
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031653328,1739292288031653518,190, process 3626769, thread 2732793856, correlation 1529
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031653849,1739292288031653949,100, process 3626769, thread 2732793856, correlation 1530
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031654009,1739292288031654109,100, process 3626769, thread 2732793856, correlation 1531
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031654170,1739292288031654370,200, process 3626769, thread 2732793856, correlation 1532
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031654540,1739292288031654731,191, process 3626769, thread 2732793856, correlation 1533
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031654791,1739292288031654891,100, process 3626769, thread 2732793856, correlation 1534
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031654951,1739292288031655161,210, process 3626769, thread 2732793856, correlation 1535
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031655221,1739292288031655422,201, process 3626769, thread 2732793856, correlation 1536
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031655702,1739292288031655813,111, process 3626769, thread 2732793856, correlation 1537
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031655873,1739292288031655963,90, process 3626769, thread 2732793856, correlation 1538
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031656033,1739292288031656233,200, process 3626769, thread 2732793856, correlation 1539
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031656354,1739292288031656554,200, process 3626769, thread 2732793856, correlation 1540
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031656614,1739292288031656704,90, process 3626769, thread 2732793856, correlation 1541
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031656764,1739292288031656985,221, process 3626769, thread 2732793856, correlation 1542
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031657035,1739292288031657235,200, process 3626769, thread 2732793856, correlation 1543
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031657856,1739292288031657957,101, process 3626769, thread 2732793856, correlation 1544
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031658037,1739292288031658127,90, process 3626769, thread 2732793856, correlation 1545
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031658187,1739292288031658397,210, process 3626769, thread 2732793856, correlation 1546
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031658518,1739292288031658718,200, process 3626769, thread 2732793856, correlation 1547
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031658778,1739292288031658878,100, process 3626769, thread 2732793856, correlation 1548
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031658938,1739292288031659149,211, process 3626769, thread 2732793856, correlation 1549
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031659209,1739292288031659409,200, process 3626769, thread 2732793856, correlation 1550
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031660782,1739292288031660882,100, process 3626769, thread 2732793856, correlation 1551
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031660942,1739292288031661042,100, process 3626769, thread 2732793856, correlation 1552
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031661103,1739292288031661313,210, process 3626769, thread 2732793856, correlation 1553
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031661473,1739292288031661664,191, process 3626769, thread 2732793856, correlation 1554
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031661734,1739292288031661824,90, process 3626769, thread 2732793856, correlation 1555
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031661884,1739292288031662094,210, process 3626769, thread 2732793856, correlation 1556
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031662154,1739292288031662355,201, process 3626769, thread 2732793856, correlation 1557
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031663507,1739292288031663607,100, process 3626769, thread 2732793856, correlation 1558
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031663667,1739292288031663757,90, process 3626769, thread 2732793856, correlation 1559
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031663828,1739292288031664028,200, process 3626769, thread 2732793856, correlation 1560
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031664158,1739292288031664349,191, process 3626769, thread 2732793856, correlation 1561
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031664409,1739292288031664509,100, process 3626769, thread 2732793856, correlation 1562
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031664569,1739292288031664779,210, process 3626769, thread 2732793856, correlation 1563
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031664839,1739292288031665040,201, process 3626769, thread 2732793856, correlation 1564
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031665491,1739292288031665591,100, process 3626769, thread 2732793856, correlation 1565
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031665651,1739292288031665751,100, process 3626769, thread 2732793856, correlation 1566
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031665811,1739292288031666022,211, process 3626769, thread 2732793856, correlation 1567
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031666142,1739292288031666342,200, process 3626769, thread 2732793856, correlation 1568
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031666402,1739292288031666493,91, process 3626769, thread 2732793856, correlation 1569
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031666553,1739292288031666773,220, process 3626769, thread 2732793856, correlation 1570
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031666823,1739292288031667024,201, process 3626769, thread 2732793856, correlation 1571
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031667354,1739292288031667464,110, process 3626769, thread 2732793856, correlation 1572
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031667524,1739292288031667615,91, process 3626769, thread 2732793856, correlation 1573
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031667675,1739292288031667885,210, process 3626769, thread 2732793856, correlation 1574
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031668016,1739292288031668206,190, process 3626769, thread 2732793856, correlation 1575
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031668266,1739292288031668366,100, process 3626769, thread 2732793856, correlation 1576
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031668426,1739292288031668637,211, process 3626769, thread 2732793856, correlation 1577
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031668697,1739292288031668897,200, process 3626769, thread 2732793856, correlation 1578
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031669699,1739292288031669799,100, process 3626769, thread 2732793856, correlation 1579
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031669859,1739292288031669959,100, process 3626769, thread 2732793856, correlation 1580
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031670019,1739292288031670220,201, process 3626769, thread 2732793856, correlation 1581
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031670370,1739292288031670560,190, process 3626769, thread 2732793856, correlation 1582
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031670620,1739292288031670710,90, process 3626769, thread 2732793856, correlation 1583
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031670771,1739292288031670991,220, process 3626769, thread 2732793856, correlation 1584
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031671041,1739292288031671242,201, process 3626769, thread 2732793856, correlation 1585
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031671542,1739292288031671652,110, process 3626769, thread 2732793856, correlation 1586
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031671703,1739292288031671803,100, process 3626769, thread 2732793856, correlation 1587
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031671863,1739292288031672073,210, process 3626769, thread 2732793856, correlation 1588
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031672213,1739292288031672404,191, process 3626769, thread 2732793856, correlation 1589
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031672464,1739292288031672564,100, process 3626769, thread 2732793856, correlation 1590
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031672624,1739292288031672834,210, process 3626769, thread 2732793856, correlation 1591
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031672895,1739292288031673095,200, process 3626769, thread 2732793856, correlation 1592
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031673426,1739292288031673536,110, process 3626769, thread 2732793856, correlation 1593
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031673586,1739292288031673686,100, process 3626769, thread 2732793856, correlation 1594
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031673746,1739292288031673957,211, process 3626769, thread 2732793856, correlation 1595
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031674087,1739292288031674277,190, process 3626769, thread 2732793856, correlation 1596
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031674337,1739292288031674437,100, process 3626769, thread 2732793856, correlation 1597
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031674488,1739292288031674708,220, process 3626769, thread 2732793856, correlation 1598
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031674768,1739292288031674958,190, process 3626769, thread 2732793856, correlation 1599
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031675239,1739292288031675339,100, process 3626769, thread 2732793856, correlation 1600
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031675399,1739292288031675499,100, process 3626769, thread 2732793856, correlation 1601
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031675560,1739292288031675760,200, process 3626769, thread 2732793856, correlation 1602
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031675890,1739292288031676081,191, process 3626769, thread 2732793856, correlation 1603
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031676151,1739292288031676241,90, process 3626769, thread 2732793856, correlation 1604
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031676301,1739292288031676521,220, process 3626769, thread 2732793856, correlation 1605
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031676572,1739292288031676772,200, process 3626769, thread 2732793856, correlation 1606
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031677053,1739292288031677153,100, process 3626769, thread 2732793856, correlation 1607
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031677213,1739292288031677313,100, process 3626769, thread 2732793856, correlation 1608
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031677373,1739292288031677574,201, process 3626769, thread 2732793856, correlation 1609
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031677704,1739292288031677894,190, process 3626769, thread 2732793856, correlation 1610
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031677964,1739292288031678054,90, process 3626769, thread 2732793856, correlation 1611
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031678115,1739292288031678325,210, process 3626769, thread 2732793856, correlation 1612
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031678385,1739292288031678585,200, process 3626769, thread 2732793856, correlation 1613
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031678866,1739292288031678966,100, process 3626769, thread 2732793856, correlation 1614
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031679036,1739292288031679126,90, process 3626769, thread 2732793856, correlation 1615
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031679186,1739292288031679397,211, process 3626769, thread 2732793856, correlation 1616
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031679517,1739292288031679718,201, process 3626769, thread 2732793856, correlation 1617
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031679778,1739292288031679878,100, process 3626769, thread 2732793856, correlation 1618
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031679938,1739292288031680148,210, process 3626769, thread 2732793856, correlation 1619
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031680208,1739292288031680409,201, process 3626769, thread 2732793856, correlation 1620
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031680649,1739292288031680749,100, process 3626769, thread 2732793856, correlation 1621
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031680809,1739292288031680920,111, process 3626769, thread 2732793856, correlation 1622
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031680990,1739292288031681190,200, process 3626769, thread 2732793856, correlation 1623
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031681341,1739292288031681531,190, process 3626769, thread 2732793856, correlation 1624
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031681591,1739292288031681691,100, process 3626769, thread 2732793856, correlation 1625
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031681751,1739292288031681962,211, process 3626769, thread 2732793856, correlation 1626
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031682022,1739292288031682212,190, process 3626769, thread 2732793856, correlation 1627
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031682513,1739292288031682613,100, process 3626769, thread 2732793856, correlation 1628
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031682673,1739292288031682763,90, process 3626769, thread 2732793856, correlation 1629
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031682833,1739292288031683034,201, process 3626769, thread 2732793856, correlation 1630
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031683174,1739292288031686510,3336, process 3626769, thread 2732793856, correlation 1631
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031686611,1739292288031686731,120, process 3626769, thread 2732793856, correlation 1632
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031686791,1739292288031687031,240, process 3626769, thread 2732793856, correlation 1633
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031687101,1739292288031687302,201, process 3626769, thread 2732793856, correlation 1634
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031687592,1739292288031687702,110, process 3626769, thread 2732793856, correlation 1635
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031687763,1739292288031687853,90, process 3626769, thread 2732793856, correlation 1636
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031687923,1739292288031688123,200, process 3626769, thread 2732793856, correlation 1637
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031688284,1739292288031688494,210, process 3626769, thread 2732793856, correlation 1638
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031688554,1739292288031688654,100, process 3626769, thread 2732793856, correlation 1639
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031688715,1739292288031688935,220, process 3626769, thread 2732793856, correlation 1640
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031688995,1739292288031689195,200, process 3626769, thread 2732793856, correlation 1641
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031689476,1739292288031689586,110, process 3626769, thread 2732793856, correlation 1642
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031689636,1739292288031689736,100, process 3626769, thread 2732793856, correlation 1643
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031689797,1739292288031689997,200, process 3626769, thread 2732793856, correlation 1644
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031690147,1739292288031690338,191, process 3626769, thread 2732793856, correlation 1645
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031690408,1739292288031690498,90, process 3626769, thread 2732793856, correlation 1646
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031690558,1739292288031690778,220, process 3626769, thread 2732793856, correlation 1647
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031690828,1739292288031691039,211, process 3626769, thread 2732793856, correlation 1648
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031691299,1739292288031691409,110, process 3626769, thread 2732793856, correlation 1649
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031691470,1739292288031691560,90, process 3626769, thread 2732793856, correlation 1650
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031691620,1739292288031691830,210, process 3626769, thread 2732793856, correlation 1651
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288031691970,1739292288031692161,191, process 3626769, thread 2732793856, correlation 1652
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288031692221,1739292288031692321,100, process 3626769, thread 2732793856, correlation 1653
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031692381,1739292288031692602,221, process 3626769, thread 2732793856, correlation 1654
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288031692662,1739292288031692872,210, process 3626769, thread 2732793856, correlation 1655
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288031693443,1739292288031693544,101, process 3626769, thread 2732793856, correlation 1656
